OrgNumber; PhoneNumber; Operator 
"5568401706"; "08-21 00 65"; "Telenor Sverige AB"
"5568401706"; "08-21 00 65"; "Telenor Sverige AB"
"5568110513"; "060-15 82 96"; "Telia Sverige AB"
"5566037643"; "073-044 33 32"; "Telia Sverige AB"
"5566037643"; "070-567 43 52"; "HI3G Access AB"
"5566037643"; "0221-208 10"; "Telia Sverige AB"
"5566037643"; "070-567 43 52"; "HI3G Access AB"
"5590462791"; "070-260 88 25"; "Telia Sverige AB"
"5590462791"; "070-260 86 61"; "Telia Sverige AB"
"5590462791"; "070-260 86 48"; "Telia Sverige AB"
"5590462791"; "08-600 56 51"; "Telia Sverige AB"
"5590462791"; "08-600 56 52"; "Telia Sverige AB"
"5590462791"; "08-600 56 53"; "Telia Sverige AB"
"5590462791"; "08-600 56 54"; "Telia Sverige AB"
"5565510939"; "070-232 87 75"; "Telia Sverige AB"
"5590909155"; "073-961 96 14"; "HI3G Access AB"
"5564998234"; "0920-22 19 29"; "Telia Sverige AB"
"5564998234"; "070-639 05 71"; "Telia Sverige AB"
"5564998234"; "070-639 05 51"; "Telia Sverige AB"
"5564998234"; "0924-550 30"; "Telia Sverige AB"
"5564998234"; "070-639 05 22"; "Telia Sverige AB"
"5562822196"; "070-217 86 22"; "Tele2 Sverige AB"
"5562822196"; "070-217 86 22"; "Tele2 Sverige AB"
"5562822196"; "073-925 97 57"; "Tele2 Sverige AB"
"5590857610"; "073-728 82 70"; "Tele2 Sverige AB"
"5563426674"; "070-815 92 35"; "Spinbox AB"
"5563426674"; "070-310 38 89"; "Telenor Sverige AB"
"5563426674"; "0611-78 25 01"; "Telecom3 Sverige AB"
"5590408570"; "076-196 66 19"; "Tele2 Sverige AB"
"5590408570"; "070-042 62 42"; "Tele2 Sverige AB"
"5564055985"; "070-369 61 84"; "Telia Sverige AB"
"5564055985"; "0270-42 91 80"; "Telia Sverige AB"
"5562584739"; "070-642 95 00"; "Telia Sverige AB"
"5567889422"; "070-932 53 03"; "TeliaSonera AB"
"5568524234"; "073-539 20 20"; "HI3G Access AB"
"5566362074"; "0500-59 53 50"; "Tele2 Sverige AB"
"5566362074"; "073-403 32 00"; "Telenor Sverige AB"
"5566362074"; "073-403 32 00"; "Telenor Sverige AB"
"5566362074"; "070-581 71 09"; "HI3G Access AB"
"5566362074"; "073-403 32 04"; "Telenor Sverige AB"
"5566362074"; "073-403 32 02"; "Telenor Sverige AB"
"5566362074"; "073-403 32 01"; "Telenor Sverige AB"
"5566362074"; "073-403 32 00"; "Telenor Sverige AB"
"5566362074"; "031-799 78 72"; "Rix Telecom AB"
"5563500692"; "031-703 59 30"; "Telia Sverige AB"
"5563500692"; "070-576 55 78"; "Telia Sverige AB"
"5563500692"; "070-508 08 62"; "Telia Sverige AB"
"5564190535"; "070-621 96 66"; "Telia Sverige AB"
"5591418206"; "070-223 38 07"; "Telia Sverige AB"
"5566830989"; "0910-169 39"; "Telia Sverige AB"
"5566830989"; "070-371 69 39"; "Telia Sverige AB"
"5566830989"; "0910-169 49"; "Telia Sverige AB"
"5566830989"; "070-371 69 39"; "Telia Sverige AB"
"5566830989"; "070-921 44 30"; "TeliaSonera AB"
"5590065578"; "070-266 79 40"; "Telia Sverige AB"
"5590065578"; "070-692 00 97"; "Telenor Sverige AB"
"5560739137"; "072-501 50 46"; "Telia Sverige AB"
"5560739137"; "070-321 77 40"; "TeliaSonera AB"
"5560739137"; "042-21 77 40"; "Telia Sverige AB"
"5566355003"; "070-791 27 53"; "HI3G Access AB"
"5569929754"; "073-026 68 64"; "Telia Sverige AB"
"5561661009"; "08-655 05 95"; "Telia Sverige AB"
"5590262175"; "073-026 34 42"; "Telia Sverige AB"
"5590262175"; "072-732 12 51"; "Telia Sverige AB"
"5567074025"; "070-822 65 81"; "Telenor Sverige AB"
"5567074025"; "070-894 67 11"; "Telenor Sverige AB"
"5566994793"; "08-437 466 16"; "TeliaSonera AB"
"5569801391"; "070-765 36 95"; "TeliaSonera AB"
"5567043327"; "08-661 40 62"; "Telia Sverige AB"
"5590594759"; "070-553 53 29"; "Telia Sverige AB"
"5590594759"; "070-293 04 73"; "Telia Sverige AB"
"5562458041"; "0680-221 17"; "Telia Sverige AB"
"5590730288"; "073-230 63 96"; "HI3G Access AB"
"5590730288"; "073-230 63 96"; "HI3G Access AB"

"5568817695"; "073-049 69 50"; "Telia Sverige AB"
"5569264251"; "070-946 17 55"; "Telenor Sverige AB"
"5568817695"; "073-049 69 50"; "Telia Sverige AB"
"5569264251"; "070-946 17 55"; "Telenor Sverige AB"
"5567887533"; "073-356 31 21"; "Telenor Sverige AB"
"5567887533"; "070-655 77 70"; "TeliaSonera AB"
"5567887533"; "08-541 390 50"; "Telia Sverige AB"
"5591691828"; "070-718 16 44"; "Tele2 Sverige AB"
"5590804018"; "073-387 16 16"; "Telenor Sverige AB"
"5590766365"; "073-398 89 94"; "Telenor Sverige AB"
"5590766365"; "073-371 66 10"; "Telenor Sverige AB"
"5590119219"; "070-945 97 19"; "Telenor Sverige AB"
"5590119219"; "070-945 97 19"; "Telenor Sverige AB"
"5590944541"; "070-726 10 80"; "Tele2 Sverige AB"
"5568615404"; "070-444 01 17"; "Tele2 Sverige AB"
"5564201829"; "070-515 06 58"; "Tele2 Sverige AB"
